meeting_id,total_utterances,n_decisions,n_actions,decision_density,action_density,redundancy_score,action_clarity,efficiency_score,cluster,cluster_label,pca_x,pca_y
ES2006c,759,2,7,0.0026,0.0092,0.2134,0.1429,0.2398,1,Low Efficiency,-0.21724792166852924,-1.0175295729633418
ES2006d,932,1,14,0.0011,0.015,0.2071,0.1429,0.2428,1,Low Efficiency,-0.301956723226328,-0.27513657820829757
ES2007a,400,0,1,0.0,0.0025,0.0925,0.0,0.273,1,Low Efficiency,0.5705205392371749,-0.8723020867001705
ES2007b,510,0,6,0.0,0.0118,0.0863,0.1667,0.2776,0,Highly Efficient,0.7513119670240541,0.10939889974071801
ES2007c,739,4,4,0.0054,0.0054,0.1218,0.0,0.2673,2,Moderately Efficient,1.612664833273548,-2.0541287455243817
ES2007d,515,1,5,0.0019,0.0097,0.1359,0.0,0.2629,1,Low Efficiency,0.7502171590934843,-0.9703446077556843
ES2008a,291,0,7,0.0,0.0241,0.0962,0.4286,0.2784,0,Highly Efficient,0.7189316196079173,1.4618339281458796
ES2008b,688,0,11,0.0,0.016,0.1497,0.0,0.2599,1,Low Efficiency,0.34413071719226546,-0.14457984575272345
ES2008c,656,4,7,0.0061,0.0107,0.1189,0.1429,0.27,2,Moderately Efficient,1.8146961021974999,-1.555690726442551
ES2008d,994,0,15,0.0,0.0151,0.1881,0.2667,0.2481,1,Low Efficiency,-0.49186710779003523,0.3198483678879178
ES2009a,575,1,6,0.0017,0.0104,0.0887,0.0,0.2772,2,Moderately Efficient,1.2958418701764556,-0.7731141701157873
ES2009b,453,2,6,0.0044,0.0132,0.0905,0.0,0.2786,2,Moderately Efficient,2.0183643612184476,-1.2500426372250644
ES2009c,605,2,10,0.0033,0.0165,0.0678,0.1,0.286,2,Moderately Efficient,2.0135465870522244,-0.4983932649500473
ES2009d,782,3,10,0.0038,0.0128,0.1381,0.4,0.2639,2,Moderately Efficient,0.7737383534558323,-0.32668925416969513
ES2010a,221,0,10,0.0,0.0452,0.0633,0.0,0.2946,0,Highly Efficient,2.39005195091178,1.8957816966270007
ES2010b,582,0,13,0.0,0.0223,0.1375,0.0769,0.2655,0,Highly Efficient,0.6092960586020776,0.4562547136717573
ES2010c,671,1,8,0.0015,0.0119,0.1192,0.0,0.2684,1,Low Efficiency,0.9313270955287044,-0.6976774057140948
ES2010d,493,0,3,0.0,0.0061,0.1602,0.3333,0.2538,1,Low Efficiency,-0.5497555627533469,-0.036524447924094046
ES2011a,364,0,7,0.0,0.0192,0.1236,0.1429,0.2687,0,Highly Efficient,0.5859577391724846,0.4409678809181876
ES2011b,551,0,8,0.0,0.0145,0.1361,0.0,0.2635,1,Low Efficiency,0.4567058566971951,-0.20936018443056148
ES2011c,594,0,10,0.0,0.0168,0.1364,0.0,0.2641,1,Low Efficiency,0.5321134009163055,-0.06441605658190427
ES2011d,722,2,3,0.0028,0.0042,0.1468,0.0,0.2583,2,Moderately Efficient,0.645716470319431,-1.5594654079903174
ES2012a,217,0,6,0.0,0.0276,0.0829,0.0,0.2834,0,Highly Efficient,1.548799417347188,0.738050722096051
ES2012b,565,0,10,0.0,0.0177,0.1133,0.3,0.2713,0,Highly Efficient,0.45743760293637,0.7261986396255031
ES2012c,677,3,2,0.0044,0.003,0.1728,0.0,0.2508,2,Moderately Efficient,0.6747567079035791,-2.078440426826113
ES2012d,315,0,4,0.0,0.0127,0.1365,0.0,0.2629,1,Low Efficiency,0.39003115956153206,-0.3242035004206581
ES2013a,208,0,1,0.0,0.0048,0.1106,0.0,0.2683,1,Low Efficiency,0.4311305602002987,-0.7668617262238281
ES2013b,574,3,10,0.0052,0.0174,0.0941,0.0,0.2791,2,Moderately Efficient,2.3112443106007463,-1.184787030888325
ES2013c,620,6,8,0.0097,0.0129,0.129,0.125,0.269,2,Moderately Efficient,2.655389351297344,-2.3464721283495344
ES2013d,575,4,10,0.007,0.0174,0.1235,0.0,0.271,2,Moderately Efficient,2.3884903262703245,-1.6835001308341988
ES2014a,290,2,1,0.0069,0.0034,0.1414,0.0,0.2614,2,Moderately Efficient,1.6674464054979772,-2.585465686088695
ES2014b,719,0,8,0.0,0.0111,0.1975,0.0,0.2441,1,Low Efficiency,-0.401048522493623,-0.5608754381784552
ES2014c,755,1,8,0.0013,0.0106,0.1815,0.125,0.2493,1,Low Efficiency,-0.07328215098863648,-0.5857578834586333
ES2014d,1047,1,7,0.001,0.0067,0.235,0.1429,0.2319,1,Low Efficiency,-0.9478220859539513,-0.8384358900781284
ES2015a,330,1,7,0.003,0.0212,0.1152,0.2857,0.273,2,Moderately Efficient,1.2931301380477558,0.1885937466512825
ES2015b,952,2,11,0.0021,0.0116,0.1565,0.0909,0.2574,1,Low Efficiency,0.49845850138679915,-0.737180460418311
ES2015c,912,3,7,0.0033,0.0077,0.114,0.1429,0.2694,2,Moderately Efficient,1.098708861890885,-1.060462716254884
ES2015d,1078,1,12,0.0009,0.0111,0.1596,0.0,0.2558,1,Low Efficiency,0.2723132338391931,-0.6934961362534285
ES2016a,360,0,8,0.0,0.0222,0.0833,0.5,0.2817,0,Highly Efficient,0.717839513210848,1.5325808505014817
ES2016b,661,3,13,0.0045,0.0197,0.1362,0.1538,0.2669,2,Moderately Efficient,1.5171850091934524,-0.6142115853762263
ES2016c,562,3,6,0.0053,0.0107,0.0925,0.3333,0.2776,2,Moderately Efficient,1.697325028216294,-0.8713716371764467
ES2016d,623,1,3,0.0016,0.0048,0.1413,0.0,0.2597,1,Low Efficiency,0.4446864554907279,-1.2202971211757296
IB4001,731,0,3,0.0,0.0041,0.1956,0.0,0.2425,1,Low Efficiency,-0.6186398667024668,-0.999819375110735
IB4002,771,0,9,0.0,0.0117,0.2399,0.5556,0.2315,1,Low Efficiency,-1.6039083222664554,0.6467615737611535
IB4003,735,1,17,0.0014,0.0231,0.2027,0.5882,0.2467,0,Highly Efficient,-0.4690508038050644,1.1880500276142927
IB4004,954,4,12,0.0042,0.0126,0.2474,0.5833,0.2312,2,Moderately Efficient,-0.6909217920195998,-0.2613189519085352
IB4005,866,1,6,0.0012,0.0069,0.2587,0.1667,0.2249,1,Low Efficiency,-1.2094339705606882,-0.8723999338901116
IB4010,1352,0,6,0.0,0.0044,0.3151,0.5,0.2068,1,Low Efficiency,-2.690961088481056,-0.10875002693409612
IB4011,1006,1,8,0.001,0.008,0.2803,0.5,0.2187,1,Low Efficiency,-1.9073109861600785,-0.04442081864631361
IN1001,1311,0,31,0.0,0.0236,0.2479,0.2903,0.2327,1,Low Efficiency,-0.9516670866333705,0.7789369219765921
IN1002,941,0,19,0.0,0.0202,0.2434,0.4737,0.233,1,Low Efficiency,-1.2491562164644787,0.9908303808915037
IN1005,858,0,11,0.0,0.0128,0.2016,0.2727,0.2434,1,Low Efficiency,-0.7414901445234641,0.1579251392757289
IN1007,1242,1,17,0.0008,0.0137,0.2544,0.3529,0.2281,1,Low Efficiency,-1.258458389120077,0.08749242789960096
IN1008,1275,8,22,0.0063,0.0173,0.2235,0.4091,0.2406,2,Moderately Efficient,0.4861869279974063,-0.8126661526459867
IN1009,400,0,21,0.0,0.0525,0.16,0.0952,0.2678,0,Highly Efficient,1.3520051727370044,2.3598663739104433
IN1012,1340,2,12,0.0015,0.009,0.2388,0.25,0.2316,1,Low Efficiency,-0.9318576573546683,-0.5780600190142767
IN1013,1656,0,20,0.0,0.0121,0.2458,0.05,0.2299,1,Low Efficiency,-1.013597063676418,-0.49103112093338785
IN1014,1342,4,52,0.003,0.0387,0.3271,0.3269,0.2147,1,Low Efficiency,-0.7154124323546865,0.9199352011000512
IN1016,1533,0,42,0.0,0.0274,0.2642,0.119,0.229,1,Low Efficiency,-0.7983301371208308,0.5937013249248472
IS1000a,544,0,9,0.0,0.0165,0.1397,0.4444,0.2631,0,Highly Efficient,-0.08737264293750946,0.9200861885128113
IS1000b,719,0,15,0.0,0.0209,0.1794,0.5333,0.2524,0,Highly Efficient,-0.5291568822701419,1.3127467889680575
IS1000c,623,0,7,0.0,0.0112,0.1477,0.4286,0.2591,0,Highly Efficient,-0.34577559456561513,0.5308575856546681
IS1000d,1201,0,14,0.0,0.0117,0.2231,0.5714,0.2366,1,Low Efficiency,-1.4214207080322614,0.7199842225462956
IS1001a,261,0,11,0.0,0.0421,0.1418,0.7273,0.2701,0,Highly Efficient,0.40445342487759195,3.1796030101360953
IS1001b,713,0,19,0.0,0.0266,0.1767,0.6316,0.255,0,Highly Efficient,-0.42666383360950677,1.9031884620814523
IS1001c,479,3,7,0.0063,0.0146,0.1169,0.7143,0.2718,2,Moderately Efficient,1.288771019871634,-0.05282226148167893
IS1001d,321,1,3,0.0031,0.0093,0.1869,1.0,0.248,0,Highly Efficient,-0.8721212025259045,0.8767393588587629
IS1002b,737,1,11,0.0014,0.0149,0.1438,0.0909,0.2619,1,Low Efficiency,0.5970912097773003,-0.3315067643115292
IS1002c,710,0,11,0.0,0.0155,0.1873,0.0909,0.2485,1,Low Efficiency,-0.24323801865024505,-0.05292199180967681
IS1002d,432,1,3,0.0023,0.0069,0.1667,0.0,0.253,1,Low Efficiency,0.37834269394214753,-1.3122893168670062
IS1003a,299,0,16,0.0,0.0535,0.1873,0.375,0.2599,0,Highly Efficient,0.698454444103853,2.999012273585385
IS1003b,546,1,19,0.0018,0.0348,0.2418,0.8421,0.2386,0,Highly Efficient,-0.7681568006322783,2.3231737488483266
IS1003c,690,0,21,0.0,0.0304,0.2087,0.5238,0.2465,0,Highly Efficient,-0.5441380100372915,1.8275448020041223
IS1003d,1091,3,17,0.0027,0.0156,0.2786,0.5294,0.2222,1,Low Efficiency,-1.2553055709503103,0.09798627865116105
IS1004a,167,0,4,0.0,0.024,0.0778,0.75,0.2838,0,Highly Efficient,0.525762503942686,2.2273849747159487
IS1004b,632,1,8,0.0016,0.0127,0.1725,0.25,0.2527,1,Low Efficiency,0.019335671939020253,-0.22075893999493476
IS1004c,774,3,14,0.0039,0.0181,0.2287,0.2143,0.2384,2,Moderately Efficient,0.12446678647428702,-0.6386920009419647
IS1004d,870,2,4,0.0023,0.0046,0.2241,0.0,0.2351,1,Low Efficiency,-0.39334670937080685,-1.585287791759627
IS1005a,251,2,16,0.008,0.0637,0.1116,0.1875,0.2888,2,Moderately Efficient,4.122745617311857,1.4597684000784321
IS1005b,628,3,13,0.0048,0.0207,0.1465,0.4615,0.2642,2,Moderately Efficient,1.1050370721924585,0.053878896191871556
IS1005c,577,4,11,0.0069,0.0191,0.1508,0.2727,0.2633,2,Moderately Efficient,1.744086557004702,-0.9921062039305394
IS1006a,352,0,6,0.0,0.017,0.1818,0.1667,0.2506,1,Low Efficiency,-0.2224415638498398,0.2266595701716809
IS1006b,677,1,13,0.0015,0.0192,0.195,0.2308,0.2479,1,Low Efficiency,-0.02824151070970423,0.12122249915391951
IS1006c,686,2,13,0.0029,0.019,0.2012,0.3077,0.2465,1,Low Efficiency,0.1275653381699383,-0.06742427805905077
IS1006d,1156,0,12,0.0,0.0104,0.2803,0.1667,0.219,1,Low Efficiency,-1.6378435248794367,-0.4097799046025088
IS1007a,326,0,5,0.0,0.0153,0.1902,0.2,0.2475,1,Low Efficiency,-0.4248817551702474,0.17613577425385238
IS1007b,432,0,8,0.0,0.0185,0.1759,0.375,0.2528,0,Highly Efficient,-0.3665744514242789,0.8085092831940647
IS1007c,655,0,6,0.0,0.0092,0.1344,1.0,0.2624,0,Highly Efficient,-0.9860664124659286,1.7334459931164665
IS1007d,637,1,8,0.0016,0.0126,0.2229,0.375,0.2375,1,Low Efficiency,-0.7524384647054426,-0.0546220134115507
IS1008a,228,0,17,0.0,0.0746,0.1711,0.1176,0.2711,0,Highly Efficient,1.9487133657165314,3.785303774741358
IS1008b,425,1,20,0.0024,0.0471,0.0988,0.2,0.2854,0,Highly Efficient,2.346743482884563,1.8142426614652898
IS1008c,396,0,6,0.0,0.0152,0.1439,0.3333,0.2614,0,Highly Efficient,-0.0403840337360707,0.575759170850698
IS1008d,497,2,11,0.004,0.0221,0.1328,0.3636,0.2684,2,Moderately Efficient,1.2518794024600555,0.1428865240301569
IS1009a,291,0,5,0.0,0.0172,0.1649,0.4,0.2557,0,Highly Efficient,-0.31053173646873733,0.8074846949324449
IS1009b,603,0,11,0.0,0.0182,0.2687,0.0,0.2249,1,Low Efficiency,-1.0162834576537088,-0.26939901030532176
IS1009c,495,1,8,0.002,0.0162,0.2788,0.375,0.222,1,Low Efficiency,-1.2072983313095287,-0.04709603890122747
IS1009d,689,1,4,0.0015,0.0058,0.2438,0.0,0.2292,1,Low Efficiency,-0.7818508437377848,-1.3603866130823523
TS3003a,425,0,12,0.0,0.0282,0.1435,0.3333,0.2654,0,Highly Efficient,0.41112133495948455,1.3996594967645681
TS3003b,659,0,8,0.0,0.0121,0.1715,0.375,0.2522,1,Low Efficiency,-0.5333816753310201,0.41309882515630075
TS3003c,630,1,7,0.0016,0.0111,0.1794,0.1429,0.2502,1,Low Efficiency,0.018309952865661495,-0.5809724236169537
TS3003d,1062,2,14,0.0019,0.0132,0.225,0.3571,0.2372,1,Low Efficiency,-0.6622267165850113,-0.13425638029230733
TS3004a,458,0,11,0.0,0.024,0.1419,0.0909,0.2646,0,Highly Efficient,0.5966753302272412,0.5859584317203267
TS3004b,963,0,5,0.0,0.0052,0.2471,0.6,0.2274,1,Low Efficiency,-1.9710163022252742,0.32026709619085814
TS3004c,1142,1,5,0.0009,0.0044,0.2907,0.0,0.2144,1,Low Efficiency,-1.5399179320790592,-1.4086160736111044
TS3004d,1209,0,11,0.0,0.0091,0.2812,0.0909,0.2184,1,Low Efficiency,-1.5962585310998778,-0.6664908955046612
TS3005a,441,0,19,0.0,0.0431,0.1497,0.4737,0.268,0,Highly Efficient,0.6683888835907263,2.6485483384373025
TS3005b,1018,0,16,0.0,0.0157,0.2063,0.125,0.2428,1,Low Efficiency,-0.5093325105720257,-0.0048643906865051675
TS3005c,904,1,29,0.0011,0.0321,0.2168,0.069,0.245,1,Low Efficiency,0.2632238135374617,0.6178235335063597
TS3005d,1636,1,21,0.0006,0.0128,0.2922,0.1429,0.2164,1,Low Efficiency,-1.5244803519105212,-0.48287212177354255
TS3006a,594,0,11,0.0,0.0185,0.1145,0.0909,0.2712,0,Highly Efficient,0.7383393610813929,0.29856996291855337
TS3006b,1220,1,24,0.0008,0.0197,0.2156,0.0417,0.2416,1,Low Efficiency,-0.18538578099156588,-0.15439221819778157
TS3006c,1335,0,15,0.0,0.0112,0.2225,0.2,0.2366,1,Low Efficiency,-0.955530302639783,-0.15511354089886403
TS3006d,1728,1,13,0.0006,0.0075,0.3073,0.3846,0.2103,1,Low Efficiency,-2.198464628818904,-0.30215626285441577
TS3007a,593,1,12,0.0017,0.0202,0.1855,0.0833,0.2511,1,Low Efficiency,0.3577341011053113,-0.17804714421140502
TS3007b,727,0,16,0.0,0.022,0.1499,0.4375,0.2616,0,Highly Efficient,-0.012639379538933945,1.2299523091817004
TS3007c,987,1,11,0.001,0.0111,0.2036,0.3636,0.2427,1,Low Efficiency,-0.7004823874435901,0.011806076043920963
TS3007d,1387,4,12,0.0029,0.0087,0.2401,0.25,0.2317,1,Low Efficiency,-0.6218344556265307,-0.937077405298932
TS3008a,493,0,6,0.0,0.0122,0.1359,0.8333,0.2629,0,Highly Efficient,-0.687515099203862,1.540872314396232
TS3008b,889,0,9,0.0,0.0101,0.2025,0.2222,0.2423,1,Low Efficiency,-0.7804228201692555,-0.12987137578336447
TS3008c,961,5,8,0.0052,0.0083,0.2789,0.375,0.2209,2,Moderately Efficient,-0.7119055488954138,-1.3180613824183158
TS3008d,1245,0,12,0.0,0.0096,0.302,0.4167,0.2123,1,Low Efficiency,-2.247486148937404,0.060056392005747646
TS3009a,636,0,11,0.0,0.0173,0.2028,0.3636,0.2443,1,Low Efficiency,-0.7178106056376893,0.6469092861840696
TS3009b,1190,1,15,0.0008,0.0126,0.237,0.2,0.233,1,Low Efficiency,-0.8903913359502792,-0.2913126962766762
TS3009c,1247,2,21,0.0016,0.0168,0.2502,0.381,0.2306,1,Low Efficiency,-0.9452506893149031,0.16433454210103796
TS3009d,1186,3,12,0.0025,0.0101,0.2698,0.0,0.2231,1,Low Efficiency,-0.7078392409591439,-1.3866755583168475
TS3010a,231,1,6,0.0043,0.026,0.1472,0.1667,0.2654,2,Moderately Efficient,1.5363823461116373,-0.1622747028504252
TS3010b,556,0,10,0.0,0.018,0.1978,0.4,0.246,0,Highly Efficient,-0.680057231083269,0.785116233957144
TS3010c,711,0,3,0.0,0.0042,0.2968,0.6667,0.2122,1,Low Efficiency,-2.690574487184579,0.2983723588656708
TS3010d,655,1,4,0.0015,0.0061,0.2824,0.5,0.2177,1,Low Efficiency,-1.8779293895945033,-0.289774861511317
TS3011a,439,1,13,0.0023,0.0296,0.1435,0.3077,0.2667,0,Highly Efficient,1.044053957543583,0.8761903167479322
TS3011b,845,3,17,0.0036,0.0201,0.1763,0.4706,0.2546,2,Moderately Efficient,0.425141604822088,0.25943362836959616
TS3011c,868,3,12,0.0035,0.0138,0.1866,0.3333,0.2495,2,Moderately Efficient,0.23628598630772382,-0.4504868138246325
TS3011d,788,1,5,0.0013,0.0063,0.2234,0.0,0.2354,1,Low Efficiency,-0.56650112147539,-1.2352954900983673
TS3012a,301,0,9,0.0,0.0299,0.1329,0.4444,0.2691,0,Highly Efficient,0.45510724847321177,1.7835135808186593
TS3012b,1104,2,19,0.0018,0.0172,0.2092,0.0526,0.2431,1,Low Efficiency,0.03199353575105858,-0.5144815235956427
TS3012c,1287,3,11,0.0023,0.0085,0.2751,0.0909,0.221,1,Low Efficiency,-0.9912334733718636,-1.2448106179430205
TS3012d,1071,4,13,0.0037,0.0121,0.2166,0.3077,0.2401,2,Moderately Efficient,-0.10334325960022285,-0.7310827062160125
