meeting_id,total_utterances,n_decisions,n_actions,decision_density,action_density,redundancy_score,action_clarity,efficiency_score
TS3003a,425,0,12,0.0,0.0282,0.1435,0.3333,0.2654
TS3003b,659,0,8,0.0,0.0121,0.1715,0.375,0.2522
TS3003c,630,1,7,0.0016,0.0111,0.1794,0.1429,0.2502
TS3003d,1062,2,14,0.0019,0.0132,0.225,0.3571,0.2372
TS3004a,458,0,11,0.0,0.024,0.1419,0.0909,0.2646
TS3004b,963,0,5,0.0,0.0052,0.2471,0.6,0.2274
TS3004c,1142,1,5,0.0009,0.0044,0.2907,0.0,0.2144
TS3004d,1209,0,11,0.0,0.0091,0.2812,0.0909,0.2184
TS3005a,441,0,19,0.0,0.0431,0.1497,0.4737,0.268
TS3005b,1018,0,16,0.0,0.0157,0.2063,0.125,0.2428
TS3005c,904,1,29,0.0011,0.0321,0.2168,0.069,0.245
TS3005d,1636,1,21,0.0006,0.0128,0.2922,0.1429,0.2164
TS3006a,594,0,11,0.0,0.0185,0.1145,0.0909,0.2712
TS3006b,1220,1,24,0.0008,0.0197,0.2156,0.0417,0.2416
TS3006c,1335,0,15,0.0,0.0112,0.2225,0.2,0.2366
TS3006d,1728,1,13,0.0006,0.0075,0.3073,0.3846,0.2103
TS3007a,593,1,12,0.0017,0.0202,0.1855,0.0833,0.2511
TS3007b,727,0,16,0.0,0.022,0.1499,0.4375,0.2616
TS3007c,987,1,11,0.001,0.0111,0.2036,0.3636,0.2427
TS3007d,1387,4,12,0.0029,0.0087,0.2401,0.25,0.2317
TS3008a,493,0,6,0.0,0.0122,0.1359,0.8333,0.2629
TS3008b,889,0,9,0.0,0.0101,0.2025,0.2222,0.2423
TS3008c,961,5,8,0.0052,0.0083,0.2789,0.375,0.2209
TS3008d,1245,0,12,0.0,0.0096,0.302,0.4167,0.2123
TS3009a,636,0,11,0.0,0.0173,0.2028,0.3636,0.2443
TS3009b,1190,1,15,0.0008,0.0126,0.237,0.2,0.233
TS3009c,1247,2,21,0.0016,0.0168,0.2502,0.381,0.2306
TS3009d,1186,3,12,0.0025,0.0101,0.2698,0.0,0.2231
TS3010a,231,1,6,0.0043,0.026,0.1472,0.1667,0.2654
TS3010b,556,0,10,0.0,0.018,0.1978,0.4,0.246
TS3010c,711,0,3,0.0,0.0042,0.2968,0.6667,0.2122
TS3010d,655,1,4,0.0015,0.0061,0.2824,0.5,0.2177
TS3011a,439,1,13,0.0023,0.0296,0.1435,0.3077,0.2667
TS3011b,845,3,17,0.0036,0.0201,0.1763,0.4706,0.2546
TS3011c,868,3,12,0.0035,0.0138,0.1866,0.3333,0.2495
TS3011d,788,1,5,0.0013,0.0063,0.2234,0.0,0.2354
TS3012a,301,0,9,0.0,0.0299,0.1329,0.4444,0.2691
TS3012b,1104,2,19,0.0018,0.0172,0.2092,0.0526,0.2431
TS3012c,1287,3,11,0.0023,0.0085,0.2751,0.0909,0.221
TS3012d,1071,4,13,0.0037,0.0121,0.2166,0.3077,0.2401
